0,9394
0,8597
0,478
0,4409
0,5379
0,5471
0,7409
0,6774
0,6570
0,4005
1,19
1,118
1,1103
1,3657
1,3989
1,4693
1,257
1,520
1,791
1,2453
2,523
2,1275
2,1313
2,1901
2,1969
2,2672
2,3941
2,4408
2,5212
2,5607
3,1394
3,2903
3,9106
3,433
3,4009
3,64
3,67
3,74
3,85
3,129
4,5700
4,3460
4,1394
4,2903
4,9106
4,400
4,791
4,2453
4,3155
4,4169
5,3608
5,433
5,4009
5,6094
5,4445
5,5774
5,7174
5,3512
5,1394
5,2903
6,5161
6,5665
6,6330
6,6681
6,7767
6,8590
6,9707
6,7170
6,5612
6,1978
7,5774
7,400
7,3608
7,1394
7,2903
7,9106
7,4409
7,5379
7,5471
7,7409
8,4005
8,4681
8,6570
8,3608
8,3526
8,5612
8,4409
8,5379
8,5471
8,7409
9,3
9,10
9,47
9,52
9,83
9,165
9,191
9,198
9,243
9,309
10,400
10,5774
10,3608
10,2108
10,2677
10,3278
10,5100
10,4176
10,3512
10,274
11,3
11,10
11,47
11,52
11,83
11,165
11,191
11,198
11,243
11,309
12,4370
12,6546
12,7271
12,6429
12,6789
12,4705
12,4908
12,5339
12,7221
12,5980
13,5203
13,2623
13,3791
13,3608
13,3512
13,400
13,4748
13,2743
13,7353
13,8643
14,5161
14,5665
14,6681
14,7767
14,8590
14,9707
14,418
14,615
14,856
14,858
15,400
15,7770
15,5808
15,3460
15,6358
15,4631
15,5774
15,7170
15,3608
15,167
16,1978
16,4409
16,5379
16,5471
16,7409
16,400
16,4005
16,4681
16,142
16,403
17,4176
17,1978
17,4409
17,5379
17,5471
17,454
17,2248
17,400
17,19
17,118
18,3608
18,7175
18,4445
18,9394
18,5774
18,5612
18,7170
18,8597
18,6570
18,4631
19,6626
19,1390
19,5160
19,534
19,578
19,1177
19,551
19,1372
19,7240
19,5605
20,5612
20,1158
20,2861
20,3069
20,3927
20,5259
20,7052
20,9731
20,9394
20,1100
21,19
21,118
21,1103
21,3657
21,3989
21,4693
21,400
21,4176
21,70
21,254
22,5556
22,167
22,1526
22,3839
22,4940
22,5327
22,7260
22,7736
22,8651
22,8849
23,5774
23,3608
